id,season,name,type,motto,category,region,flag,cardcategory,population,description,badges,trophies
"307","3","Mousebumples","Moderator Mouse Mommy","The only prescription is more cowbell!","Inoffensive Centrist Democracy","Europeia","uploads/mousebumples__833126.jpg","legendary","42000000000","42.0b Population 8,967t Industry","{""Game Mod"":1,""WA"":1,""Commended"":[""120""],""Moderator"":1,""Historical Resolution Author"":1,""General Assembly Resolution Author"":23,""Security Council Resolution Author"":5,""Easter Egg"":7}","{""INFLUENCE-1"":14,""FISH-1"":222,""DECK-1"":248}"
"361","3","Crazy girl","🌸 Pinktastic 🐾 Coffee ☕ Loving 💕 Grand 🧀 Dutchy 🌷 Queendom 👑","☕ Please bring more coffee ☕","Iron Fist Consumerists","the Rejected Realms","uploads/crazy_girl__541249.png","legendary","42400000000","42.4b Population 3,600t Industry","{""Game Mod"":1,""Commended"":[""49""],""Moderator"":1,""Issues Author"":3,""Security Council Resolution Author"":1,""Easter Egg"":4}","{""POPULATION-1"":266,""BLACKMARKET-1"":2005,""DEFENSE-1"":2416}"
"363","3","Lamoni","Corgi-Hawk Hybrid","Lex iniusta non est lex.","Inoffensive Centrist Democracy","Greater Dienstad","uploads/lamoni__340747.png","legendary","43400000000","43.4b Population 12,561t Industry","{""Game Mod"":1,""Delegate"":1,""Commended"":[""100""],""Moderator"":1,""Security Council Resolution Author"":2,""Easter Egg"":2}","{""POPULATION-1"":33,""AGRICULTURE-1"":170,""HEALTHY-1"":386}"
"410","3","Luna Amore","N-Space Compression","#410","Benevolent Dictatorship","Free Thought","uploads/luna_amore__551499.jpg","legendary","42200000000","42.2b Population 14,300t Industry","{""Game Mod"":1,""Issues Editor"":1,""Commended"":[""170""],""Founder"":1,""Moderator"":1,""Issues Author"":17,""Easter Egg"":5}","{""HAPPY-1"":9,""DECK-1"":53,""PUBLISHING-1"":122}"
"436","3","Automagfreek","Dread Empire","We Are Many, Among So Very Few","Inoffensive Centrist Democracy","Gholgoth","uploads/automagfreek__662882.png","legendary","42800000000","42.8b Population 17,495t Industry","{""Condemned"":[""83""],""Founder"":1,""Postmaster-General"":1,""Easter Egg"":1}","{""AUTO-1"":31,""POPULATION-1"":151,""GDP-1"":156}"
"437","3","Omigodtheykilledkenny","Mysterion Rising","You bastards!","Left-Leaning College State","Antarctic Oasis","uploads/omigodtheykilledkenny__869536.jpg","legendary","38600000000","38.6b Population 18,201t Industry","{""WA"":1,""Condemned"":[""17""],""Founder"":1,""Site Supporter"":1,""Issues Author"":4,""Historical Resolution Author"":3,""General Assembly Resolution Author"":3,""Easter Egg"":4}","{""LOWTAX-1"":63,""GAMBLING-1"":94,""PIZZA-1"":106}"
"459","3","Stoklomolvi","Liaoist Federation","Zhit' stalo luchshe, zhit' stalo veselej!","New York Times Democracy","Minyang","uploads/stoklomolvi__725175.png","legendary","33799999999","33.8b Population 17,636t Industry","{""Founder"":1}","{""SAFE-1"":28,""HDI-1"":33,""LIFE-1"":39}"
"473","3","The Rhein States","E-Democracy","Nullius In Verba","New York Times Democracy","The North Pacific","uploads/the_rhein_states__166906.png","legendary","17600000000","17.6b Population 8,997t Industry","{""WA"":1,""Issues Author"":1,""Easter Egg"":12}","{""ENDORSED-1"":23,""ECONOMY-1"":42,""DECK-1"":67}"
"491","3","The Macabees","Empire of the Golden Throne","Non Plus Ultra","Anarchy","Greater Dienstad","uploads/the_macabees__312215.jpg","legendary","42300000000","42.3b Population 15,441t Industry","{""Commended"":[""237""],""Founder"":1,""Postmaster-General"":1,""Security Council Resolution Author"":1,""Easter Egg"":5}","{""LOWTAX-1"":139,""GDP-1"":231,""AUTO-1"":245}"
"582","3","Bears Armed","Free Bears","Do we WHAT in the woods?","Civil Rights Lovefest","International Democratic Union","uploads/bears_armed__803023.png","legendary","34900000000","34.9b Population 12,567t Industry","{""Commended"":[""124""],""Issues Author"":9,""General Assembly Resolution Author"":2,""Easter Egg"":8}","{""CULTURE-1"":5,""HAPPY-1"":88,""TOURISM-1"":108}"
"673","3","Eluvatar","Royal Confederacy","Man i waithtir nin tiruva?","New York Times Democracy","Taijitu","uploads/eluvatar__899520.svg","legendary","34200000000","34.2b Population 5,154t Industry","{""Admin"":1,""WA"":1,""Commended"":[""129""],""Moderator"":1,""Security Council Resolution Author"":1}","{""DECK-1"":270,""STATIONARY-1"":1928,""POPULATION-1"":2136}"
"846","3","Charlotte Ryberg","Mind","We’ve been as mad as hell, since 2007!","Civil Rights Lovefest","Hinduism","uploads/charlotte_ryberg__573088.svg","legendary","34200000000","34.2b Population 4,562t Industry","{""Founder"":1,""Postmaster-General"":1,""General Assembly Resolution Author"":12,""Easter Egg"":1}","{""PUBLISHING-1"":567,""HAPPY-1"":1314,""POPULATION-1"":2117}"
"900","3","Independent Planets","Concordium","Freedom above all","Democratic Socialists","Texas","Greenland.svg","legendary","37100000000","37.1b Population 12,619t Industry","{""WA"":1,""Issues Author"":1}","{""PUBLICTRANSPORT-1"":30,""HAPPY-1"":32,""SAFE-1"":34}"
"932","3","Todd McCloud","Positive Nation","Respect. Equality. Care.","New York Times Democracy","The East Pacific","uploads/todd_mccloud__253714.png","legendary","35000000000","35.0b Population 3,078t Industry","{""WA"":1,""Commended"":[""12""],""Postmaster-General"":1,""Security Council Resolution Author"":3}","{""ENDORSED-1"":164,""INFLUENCE-1"":425,""HEALTHCARE-1"":1884}"
"1012","3","Kindjal","Queendom","Qui peut le moins peut le encore moins","Democratic Socialists","Groland","uploads/kindjal__320200.jpg","legendary","42800000000","42.8b Population 8,482t Industry","{""WA"":1,""Commended"":[""298""],""Founder"":1,""Postmaster-General"":1}","{""SAFE-1T"":1,""COMPASSIONATE-1T"":1,""LOWCRIME-1T"":1}"
"1014","3","The Grendels","Indomitable Borderlands","The Paragon of Corporate Power and Style since 2002.","Compulsory Consumerist State","Wysteria","uploads/the_grendels__632462.gif","legendary","43400000000","43.4b Population 40,463t Industry","{""Easter Egg"":7}","{""WEALTHGAPS-1T"":1,""EMPLOYED-1"":2,""DISPINCOME-1"":5}"
"1023","3","Pogaria","Holy Empire","Join us or go to hell.","Liberal Democratic Socialists","The Empire","Guernsey.svg","legendary","42900000000","42.9b Population 3,386t Industry","{""Issues Editor"":1,""Delegate"":1,""Founder"":1,""Postmaster"":1,""Issues Author"":41,""Easter Egg"":3}","{""STATIONARY-1"":2,""POPULATION-1"":116,""HAPPY-1"":274}"
"1201","3","Goodnamesarerare","People's Republic","Bush sucks!","Democratic Socialists","The East Pacific","china","legendary","41100000000","41.1b Population 23,380t Industry","{""WA"":1,""Site Supporter"":1}","{""SMART-1"":6,""CULTURE-1"":8,""PUBLISHING-1"":14}"
"1463","3","Auralia","Catholic Commonwealth","Amor sequitur cognitionem.","New York Times Democracy","Catholic","uploads/auralia__753211.png","legendary","19600000000","19.6b Population 3,850t Industry","{""WA"":1,""Postmaster-General"":1,""Issues Author"":1,""General Assembly Resolution Author"":19,""Easter Egg"":2}","{""DECK-1"":137,""LEASTCORRUPT-1"":838,""DEVOUT-1"":1063}"
"1523","3","Glen-Rhodes","Commonwealth","Concordia Parvae Res Crescunt","Civil Rights Lovefest","the South Pacific","uploads/glen-rhodes__390239.svg","legendary","30100000000","30.1b Population 3,872t Industry","{""Commended"":[""70""],""Site Supporter"":1,""Issues Author"":1,""General Assembly Resolution Author"":8,""Easter Egg"":2}","{""PUBLISHING-1"":1384,""WELFARE-1"":1955,""REBELYOUTH-5"":3313}"
"1538","3","Christian Democrats","Most Holy and Grand Empire","Iesus via et veritas et vita est","New York Times Democracy","Catholic","uploads/christian_democrats__100575.png","legendary","29100000000","29.1b Population 6,600t Industry","{""Postmaster-General"":1,""Issues Author"":4,""General Assembly Resolution Author"":12,""Security Council Resolution Author"":1,""Easter Egg"":4}","{""APATHETIC-1"":173,""DEVOUT-1"":284,""PUBLISHING-1"":364}"
"1599","3","Avaerilon","Magnificent Kingdom","Ylf ī'n Qidīol ī Fyr Aspar","Civil Rights Lovefest","Ormelran","uploads/avaerilon__196506.png","legendary","24900000000","24.9b Population 10,931t Industry","{""WA"":1,""Founder"":1,""Postmaster-General"":1,""Issues Author"":1,""Easter Egg"":6}","{""CULTURE-1"":12,""PUBLISHING-1"":22,""TOURISM-1"":25}"
"1716","3","Kelssek","Socialist Commonwealth","Unum cum virtute multorum","Civil Rights Lovefest","The East Pacific","uploads/kelssek__214278.png","legendary","40900000000","40.9b Population 5,195t Industry","{""WA"":1,""Commended"":[""351""],""Historical Resolution Author"":2,""General Assembly Resolution Author"":3}","{""POPULATION-1"":689,""WELFARE-1"":714,""ECO-GOVT-1"":1064}"
"2199","3","Kandarin","Republic","As long as there is light, we will shine","Liberal Democratic Socialists","Equilism","uploads/kandarin__876013.jpg","legendary","41400000000","41.4b Population 4,537t Industry","{""WA"":1,""Commended"":[""2""],""Postmaster"":1,""Issues Author"":2,""Security Council Resolution Author"":1}","{""AUTO-1"":304,""POPULATION-1"":535,""WELFARE-1"":1145}"
"2490","3","Sasten","United Kingdom","-","Scandinavian Liberal Paradise","The North Pacific","uploads/sasten__675570.png","legendary","24700000000","24.7b Population 9,593t Industry","{""WA"":1,""Easter Egg"":2}","{""WELFARE-1"":107,""HIGHTAX-1"":137,""GOVT-1"":143}"
"3004","3","Daedra1a","Holy Portfolio Theory","DULCE ET DECORUM EST PRO PATRIA MORI","Capitalist Paradise","Daedra1a Zombie Fort","uploads/daedra1a__642597.jpg","legendary","36800000000","36.8b Population 36,015t Industry","{""Founder"":1,""Easter Egg"":7}","{""DISPINCOME-1T"":1,""LOWTAX-1T"":1,""RICHINCOME-1"":3}"
"3045","3","Yaorozu","Rising Sun's Land","八百万神 天の安の河原に 神集ひ集ひて","Psychotic Dictatorship","The North Pacific","uploads/yaorozu__785436.jpg","legendary","34500000000","34.5b Population 11,895t Industry","{""WA"":1,""Postmaster-General"":1,""Easter Egg"":9}","{""HDI-1"":2,""LIFE-1"":3,""TOURISM-1"":4}"
"3405","3","Cromulent Peoples","Embiggened Republic","Liberty or Death! Preferably, Liberty.","Civil Rights Lovefest","Loamhedge","uploads/cromulent_peoples__118024.jpg","legendary","36800000000","36.8b Population 8,235t Industry","{""Delegate"":1,""Founder"":1}","{""PUBLISHING-1"":205,""LEASTCORRUPT-1"":242,""EMPLOYED-1"":271}"
"3626","3","Look at me","Zombie Nukers","EVIL","Corporate Police State","The Axis of Evil","uploads/look_at_me__25173.jpg","legendary","43300000000","43.3b Population 28,669t Industry","{""Founder"":1,""Easter Egg"":6}","{""AUTO-1"":24,""GDP-1"":36,""DISPINCOME-1"":39}"
"3811","3","Smiley Bob","Emoticons","Where's my wallet?","Left-wing Utopia","Hollow Point","uploads/smiley_bob__981486.png","legendary","31200000000","31.2b Population 7,177t Industry","{""Delegate"":1,""Founder"":1,""Site Supporter"":1,""Easter Egg"":10}","{""APATHETIC-1T"":1,""WEATHER-1"":14,""HDI-1"":15}"
"4009","3","YoriZ","Xenopolis","Ⓐrtists, not Ⓐrmies!","Left-wing Utopia","Anarchy","uploads/yoriz__744645.jpg","legendary","40100000000","40.1b Population 14,402t Industry","{""WA"":1,""Postmaster-General"":1,""Security Council Resolution Author"":1,""Easter Egg"":7}","{""EDUCATED-1"":61,""BLACKMARKET-1"":65,""TECH-1"":86}"
"4047","3","Particle","Interdimensional Domain","*.ﾟ･｡☆ﾟ*.ﾟ･｡☆ﾟ*.ﾟ･｡☆ﾟ","Corrupt Dictatorship","Yggdrasil","uploads/particle__453035.jpg","legendary","16500000000","16.5b Population 14,540t Industry","{""Delegate"":1,""Postmaster-General"":1,""Easter Egg"":5}","{""POORINCOME-1"":4,""TECH-1"":22,""INCOME-1"":25}"
"4602","3","Aenglaland","Loh","Your feeling of helplessness is your best friend savage","Democratic Socialists","The North Pacific","uploads/aenglaland__279502.png","legendary","28600000000","28.6b Population 6,651t Industry","{""WA"":1,""Postmaster-General"":1,""Easter Egg"":11}","{""ENDORSED-1"":5,""INFLUENCE-1"":99,""DECK-1"":183}"
"4873","3","Giovenith","Empire","Savagery and Brilliance","Left-wing Utopia","The East Pacific","uploads/giovenith__163569.png","legendary","23500000000","23.5b Population 2,200t Industry","{""Game Mod"":1,""Moderator"":1}","{""STATIONARY-1"":1359,""LEASTCORRUPT-5"":3096,""AID-5"":4582}"
"5109","3","Ransium","United Mangrove Archipelago","Semper Virens","Liberal Democratic Socialists","Forest","uploads/ransium__384995.jpg","legendary","35200000000","35.2b Population 7,553t Industry","{""Game Mod"":1,""Issues Editor"":1,""WA"":1,""Commended"":[""236""],""Moderator"":1,""Issues Author"":30,""General Assembly Resolution Author"":5,""Security Council Resolution Author"":6,""Easter Egg"":5}","{""ECO-GOVT-1"":2,""HEALTHCARE-1"":4,""WEATHER-1"":5}"
"5518","3","Farnhamia","Serenìsima Repùblica","𒀭Non Calor Sed Umor. Atque Panes Panisci.","Inoffensive Centrist Democracy","Zhaucauozian Friendship","uploads/farnhamia__229958.png","legendary","34000000000","34.0b Population 7,655t Industry","{""Game Mod"":1,""WA"":1,""Moderator"":1}","{""PUBLISHING-1"":28,""HAPPY-1"":261,""NICE-1"":497}"
"5856","3","Saugeen","Frequently Inebriated Nation","I have a cunning plan...","Civil Rights Lovefest","City Ankh Morpork","Bermuda.svg","legendary","42300000000","42.3b Population 20,301t Industry","{""WA"":1,""Site Supporter"":1,""Easter Egg"":4}","{""POLIFREE-1"":4,""SMART-1"":17,""ADVANCED-1"":22}"
"6068","3","Zurkerx","Constitutional Empire","The Empire Shall Grow","Anarchy","Zentari","uploads/zurkerx__215220.jpg","legendary","25800000000","25.8b Population 16,380t Industry","{""Game Mod"":1,""Moderator"":1,""Easter Egg"":4}","{""SODA-1"":23,""LOWTAX-1"":42,""RUDE-1"":49}"
"6931","3","Undivulged Principles","Confederacy","What goes around, comes around.","Left-wing Utopia","Eladen","uploads/undivulged_principles","legendary","42900000000","42.9b Population 45,823t Industry","{""Founder"":1,""Easter Egg"":4}","{""BLACKMARKET-1"":2,""FISH-1"":2,""POORINCOME-1"":2}"
"10363","3","Despoticania","Despotic Dictatorship","God was a dream of good government.","Corrupt Dictatorship","The Alliance of Dictators","uploads/despoticania__722278.png","legendary","35600000000","35.6b Population 41,439t Industry","{""Founder"":1,""Easter Egg"":2}","{""POORINCOME-1T"":1,""TECH-1"":2,""BASKET-1"":2}"
"11615","3","Little Flowers","Empire","Roses have thorns!","Capitalizt","Eladen","uploads/little_flowers__102306.png","legendary","43000000000","43.0b Population 41,306t Industry","{""Easter Egg"":4}","{""ARMED-1"":2,""WEALTHGAPS-1"":2,""CRIME-1"":2}"
"11936","3","GeodesicDragon","Apocalypse","Glory to the Apocalypse!","Iron Fist Consumerists","Pony Realms","uploads/geodesicdragon__634307.png","legendary","21500000000","21.5b Population 13,563t Industry","{""Postmaster-General"":1,""Issues Author"":4,""Easter Egg"":7}","{""TIMBER-1"":26,""MINING-1"":31,""INSURANCE-1"":39}"
"12593","3","Starblaydia","Protectorate","Fides, Gloria, Sanguis","Father Knows Best State","Anaia","uploads/starblaydia__285880.png","legendary","40600000000","40.6b Population 6,831t Industry","{""Game Mod"":1,""Commended"":[""40""],""Moderator"":1,""Easter Egg"":2}","{""POPULATION-1"":729,""FURNITURE-1"":817,""HAPPY-1"":1201}"
"13503","3","Sierra Lyricalia","Strutting Monkeywrenchery","Veritas potentiae et actio interfationis libera","Left-wing Utopia","Anarchy","uploads/sierra_lyricalia__344639.png","legendary","25100000000","25.1b Population 3,938t Industry","{""Secretariat"":1,""WA"":1,""Commended"":[""331""],""Postmaster-General"":1,""Issues Author"":3,""General Assembly Resolution Author"":2,""Easter Egg"":4}","{""HAPPY-1"":962,""EMPLOYED-1"":973,""REBELYOUTH-1"":1003}"
"13616","3","Xoriet","Prinzessin der Ozelote","Justice Upon All.","Corrupt Dictatorship","the Pacific","uploads/xoriet__952027.jpg","legendary","22200000000","22.2b Population 7,399t Industry","{""WA"":1,""Commended"":[""266""],""Postmaster-General"":1,""Security Council Resolution Author"":6,""Easter Egg"":9}","{""DECK-1"":33,""PEACE-1"":115,""HDI-1"":133}"
"13923","3","G-Tech Corporation","Landsraad Hegemony","Ever upwards and forwards","Inoffensive Centrist Democracy","The Pristine Wilderness","uploads/g-tech_corporation__207889.jpg","legendary","27000000000","27.0b Population 11,609t Industry","{""Commended"":[""416""],""Founder"":1,""Postmaster"":1,""Easter Egg"":7}","{""CHEESE-1"":108,""DISPINCOME-1"":278,""INSURANCE-1"":334}"
"13959","3","Wilkshire","Republic","Everyone for everyone else","Scandinavian Liberal Paradise","The North Pacific","uploads/wilkshire","legendary","42300000000","42.3b Population 12,979t Industry","{""WA"":1}","{""NICE-1"":3,""WEATHER-1"":3,""COMPASSIONATE-1"":3}"
"14523","3","Artoonia","Artoonian Empire","Artuanoj Iras La Domo","Anarchy","The Satellite of Love","uploads/artoonia__693704.png","legendary","40600000000","40.6b Population 18,013t Industry","{""Founder"":1,""Easter Egg"":6}","{""APATHETIC-1"":29,""REBELYOUTH-1"":31,""CRIME-1"":32}"
"17004","3","Koda-Land","Legendary Sultanate","Have fun storming the castle!","Civil Rights Lovefest","The North Pacific","uploads/koda-land__395417.jpg","legendary","24800000000","24.8b Population 6,590t Industry","{""WA"":1,""Site Supporter"":1,""Easter Egg"":9}","{""ENDORSED-1"":35,""INFLUENCE-1"":210,""HAPPY-1"":301}"
"17821","3","Bananaistan","People's Republic","Men echenim si derthiel ne chaered hen nu 'aladhath","New York Times Democracy","Forest","uploads/bananaistan__350453.png","legendary","23100000000","23.1b Population 2,443t Industry","{""Secretariat"":1,""WA"":1,""Postmaster-General"":1,""General Assembly Resolution Author"":2}","{""EDUCATED-1"":653,""INFLUENCE-1"":932,""HEALTHCARE-1"":947}"
"17842","3","Blogotopia","Anarchy","Free Palestine, support BDS!","Democratic Socialists","10000 Islands","uploads/blogotopia__810176.jpg","legendary","38800000000","38.8b Population 13,993t Industry","{""WA"":1,""Easter Egg"":4}","{""REBELYOUTH-1T"":1,""WELFARE-1"":3,""EDUCATED-1"":3}"
"18983","3","Los Santos","Very Large Safari Park","Mata ai ni kurukarane","Iron Fist Consumerists","Nintendo","uploads/los_santos__886041.jpg","legendary","40200000000","40.2b Population 38,718t Industry","{""WA"":1,""Founder"":1,""Site Supporter"":1,""Easter Egg"":2}","{""INSURANCE-1T"":1,""BASKET-1"":4,""BLACKMARKET-1"":6}"
"22088","3","Topid","Free State","He who allows oppression shares the crime.","Capitalizt","Founderless","uploads/topid__203748.png","legendary","29700000000","29.7b Population 8,501t Industry","{""Postmaster-General"":1,""General Assembly Resolution Author"":4,""Security Council Resolution Author"":8,""Easter Egg"":5}","{""PIZZA-1"":215,""LOWTAX-1"":253,""SODA-1"":364}"
"27790","3","Almonaster Nuevo","Zombie Hunters","Libertad y Justicia","Civil Rights Lovefest","Canada","uploads/almonaster_nuevo__745054.jpg","legendary","33100000000","33.1b Population 12,312t Industry","{""WA"":1,""Commended"":[""304""],""Easter Egg"":8}","{""REBELYOUTH-1"":29,""LEASTCORRUPT-1"":55,""CULTURE-1"":107}"
"32664","3","Valkalan","Directorate","वज्रमात अस्ता रिजथम","Compulsory Consumerist State","Zarathustra","uploads/valkalan__850969.png","legendary","26900000000","26.9b Population 19,169t Industry","{""Founder"":1,""Easter Egg"":5}","{""ADVANCED-1"":13,""DISPINCOME-1"":28,""LOWTAX-1"":43}"
"36056","3","Separatist Peoples","Confederate Dominion","vir est qui mundum non reddat meliorem, NationStates","Civil Rights Lovefest","International Democratic Union","uploads/separatist_peoples__620253.png","legendary","23200000000","23.2b Population 5,514t Industry","{""Secretariat"":1,""WA"":1,""Commended"":[""193""],""Postmaster-General"":1,""Issues Author"":1,""General Assembly Resolution Author"":18,""Easter Egg"":5}","{""LEASTCORRUPT-1"":802,""SAFE-1"":1354,""DECK-1"":1372}"
"37452","3","Esternial","No drama llama no spitting camels only fluffy soft alpacas 100% huggable snuggable floofs 🦙","We're a real country.","Inoffensive Centrist Democracy","Snazzy","uploads/esternial__763145.gif","legendary","28000000000","28.0b Population 4,125t Industry","{""Forum Mod"":1,""Commended"":[""417""],""Founder"":1,""Moderator"":1,""Easter Egg"":8}","{""DECK-1"":79,""TECH-1"":2412,""GDP-5"":3746}"
"38011","3","Teaberry","Northern Hinterland","Pithy Latin phrase.","Scandinavian Liberal Paradise","Osiris","uploads/teaberry__416058.png","legendary","37900000000","37.9b Population 12,161t Industry","{""Issues Author"":1,""Easter Egg"":4}","{""SMART-1"":225,""EDUCATED-1"":227,""HEALTHCARE-1"":232}"
