id,season,name,type,motto,category,region,flag,cardcategory,population,description,badges,trophies
"363","1","Lamoni","Corgi-Hawk Hybrid Mentorly Mod of Stuff and Things","Lex iniusta non est lex.","Democratic Socialists","Greater Dienstad","uploads/lamoni__924713.png","legendary","34821000000","34.821 billion Lamonians. Ubiquitous missile silos, pith helmet sales, and daily referendums.","{""Forum Mod"":1,""Roleplay Mentor"":1,""Delegate"":1,""Commended"":[""100""],""Moderator"":1,""Easter Egg"":2}","{""ECONOMY-1"":41,""POPULATION-1"":45,""AGRICULTURE-1"":75}"
"410","1","Luna Amore","Reticulated Splines","Ask not for whom the bone bones; it bones for thee.","Benevolent Dictatorship","Free Thought","uploads/luna_amore__672977.jpg","legendary","33692000000","33.692 billion Amorians. Rum-swilling pirates, infamous sell-swords, and sprawling nuclear power plants.","{""Issues Editor"":1,""Commended"":[""170""],""Founder"":1,""Retired Moderator"":1,""Issues Author"":14,""Easter Egg"":5}","{""HAPPY-1"":12,""ECONOMY-1"":47,""CULTURE-1"":76}"
"436","1","Automagfreek","New Gothic Empire","We Are Many, Among So Very Few","Inoffensive Centrist Democracy","Gholgoth","uploads/automagfreek__662882.png","legendary","34212000000","34.212 billion Freeks. Barren, inhospitable landscape, compulsory military service, and sprawling nuclear power plants.","{""Condemned"":[""83""],""Founder"":1,""Easter Egg"":1}","{""AUTO-1"":39,""ECONOMY-1"":52,""MANUFACTURING-1"":77}"
"437","1","Omigodtheykilledkenny","Mysterion Rising","You bastards!","Capitalizt","Antarctic Oasis","uploads/omigodtheykilledkenny__869536.jpg","legendary","30036000000","30.036 billion Kennyites. Deadly medical pandemics, sprawling nuclear power plants, and multi-spousal wedding ceremonies.","{""Condemned"":[""17""],""Founder"":1,""Site Supporter"":1,""Issues Author"":4,""Historical Resolution Author"":3,""General Assembly Resolution Author"":3,""Easter Egg"":4}","{""ECONOMY-1"":53,""ARMED-1"":69,""RICHINCOME-1"":70}"
"459","1","Stoklomolvi","Liaoist Federation","Zhit' stalo luchshe, zhit' stalo veselej!","New York Times Democracy","Minyang","uploads/stoklomolvi__913995.png","legendary","25397000000","25.397 billion Stoklomolvi. Anti-smoking policies, otherworldly petting zoo, and absence of drug laws.","{""Founder"":1}","{""SAFE-1"":13,""LOWCRIME-1"":18,""SMART-1"":26}"
"491","1","The Macabees","Empire of the Golden Throne","Non Plus Ultra","Anarchy","Greater Dienstad","uploads/the_macabees__312215.jpg","legendary","33726000000","33.726 billion Macabeans. Sprawling nuclear power plants, smutty television, and complete lack of public education.","{""Roleplay Mentor"":1,""WA"":1,""Commended"":[""237""],""Founder"":1,""Postmaster-General"":1,""Easter Egg"":5}","{""ECONOMY-1"":66,""RICHINCOME-1"":130,""LOWTAX-1"":177}"
"522","1","Aleisyr","Endorse East Durthang","Defend the Revolution! Endorse East Durthang!","Democratic Socialists","the Pacific","uploads/aleisyr__775142.png","legendary","32884999999","32.885 billion Aleisyrians. Otherworldly petting zoo, multi-spousal wedding ceremonies, and devotion to social welfare.","{""Delegate"":1,""Postmaster-General"":1,""Easter Egg"":8}","{""SMART-1T"":1,""CULTURE-1"":3,""LOWCRIME-1"":8}"
"577","1","Ardchoille","Free Toy With Every Meal","Do the opposite","Democratic Socialists","Zhaucauozian Friendship","Default.png","legendary","31086000000","31.086 billion Ardchoilleans. Complete lack of prisons, daily referendums, and multi-spousal wedding ceremonies.","{""Founder"":1,""Retired Moderator"":1}","{""POPULATION-1"":1051,""WELFARE-1"":1552,""PEACE-1"":1622}"
"582","1","Bears Armed","Free Bears","Do we WHAT in the woods?","Civil Rights Lovefest","International Democratic Union","uploads/bears_armed__785828.jpg","legendary","27391000000","27.391 billion Bears. Museums and concert halls, multi-spousal wedding ceremonies, and complete absence of social welfare.","{""Secretariat"":1,""Commended"":[""124""],""Postmaster"":1,""Issues Author"":5,""Easter Egg"":6}","{""CULTURE-1"":26,""ECONOMY-1"":81,""HAPPY-1"":103}"
"673","1","Eluvatar","Royal Confederacy","Man i waithtir nin tiruva?","New York Times Democracy","Taijitu","uploads/eluvatar__711679.png","legendary","25661000000","25.661 billion Eluvatarans. Compulsory military service, national health service, and complete absence of social welfare.","{""Admin"":1,""WA"":1,""Commended"":[""129""],""Moderator"":1}","{""ECONOMY-1"":91,""GDP-5"":2053,""INFLUENCE-5"":2400}"
"846","1","Charlotte Ryberg","Mind","...","Civil Rights Lovefest","Hinduism","uploads/charlotte_ryberg__878004.png","legendary","25673000000","25.673 billion Minoans. Unlimited-speed roads, keen interest in outer space, and devotion to social welfare.","{""Founder"":1,""Postmaster-General"":1,""General Assembly Resolution Author"":8,""Easter Egg"":1}","{""PUBLISHING-1"":512,""HAPPY-1"":1186,""POPULATION-5"":2460}"
"900","1","Independent Planets","Concordium","Freedom above all","Liberal Democratic Socialists","Texas","Greenland.png","legendary","28610000000","28.61 billion Planetians. Rampant corporate plagiarism, ubiquitous missile silos, and daily referendums.","{""WA"":1,""Issues Author"":1}","{""SAFE-1"":18,""HAPPY-1"":29,""NICE-1"":36}"
"932","1","Todd McCloud","TEP Is Best P","Respect. Equality. Care.","Civil Rights Lovefest","The East Pacific","uploads/todd_mccloud__36420.jpg","legendary","26551000000","26.551 billion Todd. Museums and concert halls, punitive income tax rates, and devotion to social welfare.","{""WA"":1,""Commended"":[""12""],""Postmaster-General"":1,""Security Council Resolution Author"":3}","{""ENDORSED-1"":83,""INFLUENCE-1"":293,""STATIONARY-1"":391}"
"1012","1","Kindjal","Queendom","Qui peut le moins peut le encore moins","Liberal Democratic Socialists","Groland","uploads/kindjal__320200.jpg","legendary","34304000000","34.304 billion Kindjalis. Lack of airports, state-planned economy, and devotion to social welfare.","{""WA"":1,""Founder"":1}","{""HIGHTAX-1T"":1,""NICE-1T"":1,""SAFE-1T"":1}"
"1014","1","The Grendels","Indomitable Borderlands","The Paragon of Corporate Power and Style since 2002.","Compulsory Consumerist State","Wysteria","uploads/the_grendels__709977.png","legendary","34858000000","34.858 billion Grendels. Barren, inhospitable landscape, compulsory military service, and flagrant waste-dumping.","{""Easter Egg"":7}","{""EMPLOYED-1"":3,""DISPINCOME-1"":4,""LOWTAX-1"":7}"
"1023","1","Pogaria","Holy Empire","Join us or go to hell.","Democratic Socialists","The Empire","guernsey","legendary","34469000000","34.469 billion Pogarians. Daily referendums, multi-spousal wedding ceremonies, and devotion to social welfare.","{""Issues Editor"":1,""WA"":1,""Founder"":1,""Postmaster"":1,""Issues Author"":2,""Easter Egg"":2}","{""STATIONARY-1"":2,""POPULATION-1"":124,""WEATHER-1"":209}"
"1089","1","Kyrusia","Most Caprine Malevolence","My peace has always depended on all the ashes in my wake.","Capitalizt","The Local Cluster","uploads/kyrusia__743076.png","legendary","16018999999","16.019 billion infernal caprids. Keen interest in outer space, unlimited-speed roads, and complete absence of social welfare.","{""Game Mod"":1,""Roleplay Mentor"":1,""Moderator"":1,""Easter Egg"":1}","{""CRIME-1"":1495,""LOWTAX-5"":1720,""DRUGS-5"":1817}"
"1201","1","Goodnamesarerare","People's Republic","Bush sucks!","Democratic Socialists","The East Pacific","china","legendary","32633000000","32.633 billion Goodnamesarerareans. Compulsory military service, strictly enforced bedtime, and irreverence towards religion.","{""WA"":1}","{""CULTURE-1"":4,""SMART-1"":5,""GOVT-1"":11}"
"1234","1","PurDunamis","Eigenstate","Have It My Way","Benevolent Dictatorship","Northern Europe","united_kingdom--53","legendary","34808000000","34.808 billion PurDunamisians. Museums and concert halls, compulsory military service, and spontaneously combusting cars.","{""Founder"":1,""Easter Egg"":4}","{""PIZZA-1"":28,""POPULATION-1"":47,""RICHINCOME-1"":71}"
"1287","1","DarthStassen","Infinite Empire","Honor et Gloria Imperatori","Father Knows Best State","Central Eastern Europe","uploads/darthstassen__136929.jpg","legendary","25468000000","25.468 billion Imperials. Barren, inhospitable landscape, national health service, and otherworldly petting zoo.","{""WA"":1,""Site Supporter"":1,""Easter Egg"":4}","{""DISPINCOME-1"":86,""MANUFACTURING-1"":86,""LOWTAX-1"":134}"
"1463","1","Auralia","Catholic Commonwealth","Amor sequitur cognitionem.","New York Times Democracy","Catholic","uploads/auralia__218286.jpg","legendary","14555000000","14.555 billion Auralians. Pith helmet sales, digital currency, and complete absence of social welfare.","{""WA"":1,""Postmaster-General"":1,""Issues Author"":1,""General Assembly Resolution Author"":19,""Easter Egg"":2}","{""ECONOMY-1"":169,""AGRICULTURE-1"":495,""LEASTCORRUPT-1"":737}"
"1522","1","Great Nepal","United Kingdom","Motherland is Greater than Heaven","Father Knows Best State","Alt Earth","Nepal.png","legendary","19418000000","19.418 billion Nepalese. Smutty television, pith helmet sales, and vat-grown people.","{""Condemned"":[""24""],""Postmaster-General"":1,""Issues Author"":1,""Easter Egg"":4}","{""ECONOMY-1"":173,""ADVANCED-1"":446,""DISPINCOME-1"":465}"
"1523","1","Glen-Rhodes","Commonwealth","Concordia Parvae Res Crescunt","Civil Rights Lovefest","the South Pacific","uploads/glen-rhodes__522152.jpg","legendary","22868000000","22.868 billion Rhodesians. Keen interest in outer space, rampant corporate plagiarism, and restrictive gun laws.","{""Commended"":[""70""],""Site Supporter"":1,""Issues Author"":1,""General Assembly Resolution Author"":7,""Easter Egg"":2}","{""PUBLISHING-1"":1192,""WELFARE-5"":1767,""APATHETIC-5"":3112}"
"1538","1","Christian Democrats","Most Holy and Grand Empire","Iesus via et veritas et vita est","New York Times Democracy","Catholic","uploads/christian_democrats__100575.png","legendary","20568000000","20.568 billion Christian Democrats. Barren, inhospitable landscape, unlimited-speed roads, and strictly enforced bedtime.","{""Secretariat"":1,""Delegate"":1,""Postmaster"":1,""Issues Author"":4,""General Assembly Resolution Author"":10,""Security Council Resolution Author"":1,""Easter Egg"":4}","{""APATHETIC-1"":142,""ECONOMY-1"":174,""DEVOUT-1"":186}"
"1653","1","Gigaverse","Zombie 🍱🍜全類聖制🍰🍨","A Magnifratre Protegere 「守於大兄」","Civil Rights Lovefest","Nationalist Commonwealth of Free Regions","uploads/gigaverse__35445.png","legendary","16821000000","16.821 billion Cives imperiales. Museums and concert halls, keen interest in outer space, and free-roaming dinosaurs.","{""Founder"":1,""Postmaster-General"":1,""Easter Egg"":6}","{""HDI-1"":97,""BUSINESS-1"":102,""CULTURE-1"":108}"
"1912","1","Chedonia","Democratic Republic","Enjoy The Beauty Of Yourself","Scandinavian Liberal Paradise","The North Pacific","uploads/chedonia","legendary","34876000000","34.876 billion Chedonians. Museums and concert halls, ban on automobiles, and stringent health and safety legislation.","{""WA"":1,""Site Supporter"":1}","{""HEALTHY-1"":19,""HAPPY-1"":22,""NICE-1"":28}"
"2199","1","Kandarin","Republic","As long as there is light, we will shine","Democratic Socialists","the Rejected Realms","uploads/kandarin__791476.jpg","legendary","33627000000","33.627 billion Kandarinians. Museums and concert halls, hatred of cheese, and punitive income tax rates.","{""Commended"":[""2""],""Postmaster"":1,""Issues Author"":2,""Security Council Resolution Author"":1}","{""ECONOMY-1"":225,""AUTO-1"":280,""POPULATION-1"":392}"
"2710","1","Valinon","United Star Empire","Mit Mut zu schützen","Left-Leaning College State","Raumreich Oversector","uploads/valinon__76749.png","legendary","33950000000","33.95 billion Valinors. Anti-smoking policies, sprawling nuclear power plants, and multi-spousal wedding ceremonies.","{""Founder"":1,""Postmaster-General"":1,""Easter Egg"":2}","{""CHEESE-1"":93,""FISH-1"":130,""GDP-1"":139}"
"2887","1","Menta Lee-IL","Letterman Commie Paradise","DESTROYER OF DEMOCRACY, FREEDOM, HUMAN RIGHTS, PEACE!!!","Iron Fist Consumerists","Psychotic Dictatorships","uploads/menta_lee-il__549530.jpg","legendary","26627000000","26.627 billion DEAREST LEADER'S eternal slaves. Infamous sell-swords, flagrant waste-dumping, and prohibition of alcohol.","{""Founder"":1}","{""CORRUPT-1T"":1,""DEFENSE-1T"":1,""BLACKMARKET-1"":8}"
"2943","1","Whereisthatistan","Anarcho-Capitalist Ogre Fans","Terra Incognita","Capitalizt","The North Pacific","uploads/whereisthatistan__441598.jpg","legendary","24319000000","24.319 billion Whereisthatistanians. Ritual sacrifices, public floggings, and unlimited-speed roads.","{""WA"":1,""Easter Egg"":4}","{""ARMED-1"":28,""APATHETIC-1"":32,""CRIME-1"":48}"
"3020","1","Borkistan","Cheftocratic Empire","One nation, wearing funny hats","Civil Rights Lovefest","Axis of Absurdity","bhutan","legendary","34979000000","34.979 billion Borkistanis. National health service, strictly enforced bedtime, and stringent health and safety legislation.","{""Delegate"":1,""Founder"":1,""Easter Egg"":2}","{""STATIONARY-1"":4,""POPULATION-1"":15,""GDP-1"":265}"
"3045","1","Yaorozu","Rising Sun's Land","八百万の神天安の河原に神集ひ","Democratic Socialists","The North Pacific","uploads/yaorozu__532152.jpg","legendary","25911000000","25.911 billion Yaorozu-no-tami. Digital currency, parental licensing program, and irreverence towards religion.","{""WA"":1,""Postmaster-General"":1,""Easter Egg"":6}","{""HDI-1"":3,""HEALTHY-1"":8,""LIFE-1"":9}"
"3065","1","Escalan Corps-Star Island","Iradialad Iterind","Ésten | Pákzin | Ekílad","Civil Rights Lovefest","Ordis","uploads/escalan_corps-star_island__579397.jpg","legendary","14483000000","14.483 billion Isladestelidni. State-planned economy, multi-spousal wedding ceremonies, and keen interest in outer space.","{""WA"":1,""Issues Author"":1,""Easter Egg"":4}","{""SODA-1"":23,""BUSINESS-1"":44,""PUBLISHING-1"":69}"
"3260","1","Kundu","Great Empire","Libertate, aequalitatem, fraternitatis","Democratic Socialists","Gay","uploads/kundu__678468.png","legendary","30094000000","30.094 billion Kundanese. Ubiquitous missile silos, sprawling nuclear power plants, and devotion to social welfare.","{""Delegate"":1,""Historical Resolution Author"":1}","{""POLICE-1"":63,""SAFE-1"":70,""AGRICULTURE-1"":100}"
"3285","1","Complete Bastards","Dominion","We don't want the world, we just want your half.","Corporate Police State","Wysteria","wales--80","legendary","34704000000","34.704 billion Complete Bastards. Strictly enforced bedtime, zero percent divorce rate, and spontaneously combusting cars.","{""Easter Egg"":4}","{""DEATH-1"":5,""AVOIDED-1"":8,""FAT-1"":12}"
"3626","1","Look at me","Zombie Nukers","EVIL","Corporate Police State","The Axis of Evil","uploads/look_at_me__25173.jpg","legendary","34807000000","34.807 billion Lookatmes. Anti-smoking policies, frequent executions, and complete absence of social welfare.","{""Founder"":1,""Easter Egg"":6}","{""AUTO-1"":27,""GDP-1"":37,""DISPINCOME-1"":38}"
"4108","1","Old Tyrannia","Grand Fascist Empire","Si non confectus, non reficiat","Father Knows Best State","The Tyrannian Empire","uploads/old_tyrannia__7579.jpg","legendary","20425000000","20.425 billion Tyrannians. Keen interest in outer space, ubiquitous missile silos, and aversion to nipples.","{""Game Mod"":1,""Founder"":1,""Moderator"":1}","{""AUTO-1"":961,""STATIONARY-5"":3348,""POPULATION-5"":4440}"
"5109","1","Ransium","United Mangrove Archipelago","Semper Virens","Civil Rights Lovefest","Forest","uploads/ransium__384995.jpg","legendary","26572000000","26.572 billion Ransites. Vat-grown people, ban on automobiles, and hatred of cheese.","{""Game Mod"":1,""Issues Editor"":1,""Delegate"":1,""Commended"":[""236""],""Moderator"":1,""Issues Author"":20,""General Assembly Resolution Author"":3,""Security Council Resolution Author"":5,""Easter Egg"":5}","{""ECO-GOVT-1"":23,""WEATHER-1"":24,""ENVIRONMENT-1"":54}"
"5518","1","Farnhamia","Serenìsima Repùblica","𒀭Non Calor Sed Umor. Atque Panes Panisci.","Democratic Socialists","Zhaucauozian Friendship","uploads/farnhamia__229958.png","legendary","25487000000","25.487 billion Farnhamians. Complete lack of prisons, otherworldly petting zoo, and devotion to social welfare.","{""Game Mod"":1,""WA"":1,""Moderator"":1}","{""PUBLISHING-1"":24,""NICE-1"":304,""HAPPY-1"":304}"
"5908","1","Seven by Nine","Dominion","You Must Comply","Iron Fist Consumerists","Beyond the Wub","uploads/seven_by_nine","legendary","25775000000","25.775 billion drones. Closed borders, free-roaming dinosaurs, and frequent executions.","{""Founder"":1,""Easter Egg"":2}","{""POLICE-1"":55,""TIMBER-1"":64,""MINING-1"":67}"
"5989","1","Stovilium","Socialistic Republic","Hey moderators is this motto against the rules too?","Left-wing Utopia","The North Pacific","uploads/stovilium__894782.jpg","legendary","15721000000","15.721 billion Stovilians. Soft-spoken computers, restrictive gun laws, and stringent health and safety legislation.","{""WA"":1}","{""HIGHTAX-1"":60,""WELFARE-1"":63,""HDI-1"":67}"
"6003","1","Dutchyland","Mystical Isles","Hey moderators is this motto against the rules too?","Left-wing Utopia","The North Pacific","uploads/dutchyland__849092.png","legendary","14976000000","14.976 billion Dutchylandians. Keen interest in outer space, multi-spousal wedding ceremonies, and restrictive gun laws.","{""WA"":1,""Easter Egg"":2}","{""WELFARE-1"":32,""SAFE-1"":32,""HDI-1"":34}"
"6193","1","Pax Aurea","Federal Commonwealth","Do unto others as you would have them do unto you.","Civil Rights Lovefest","The European Union","uploads/pax_aurea__966519.png","legendary","25025000000","25.025 billion Aureans. National health service, free-roaming dinosaurs, and compulsory vegetarianism.","{""WA"":1,""Easter Egg"":4}","{""HDI-1T"":1,""LIFE-1"":4,""COMPASSIONATE-1"":4}"
"6322","1","Earth Federation","United States","Technology will lead us forever","Capitalizt","10000 Islands","uploads/earth_federation__389102.jpg","legendary","15418000000","15.418 billion Terrans. Ubiquitous missile silos, unlimited-speed roads, and spontaneously combusting cars.","{""WA"":1,""Easter Egg"":4}","{""INFLUENCE-1"":12,""SODA-1"":22,""RICHINCOME-1"":22}"
"6542","1","Uniserve","Incorporated States","Our upstream provider did it!","Iron Fist Consumerists","Rejected Realms","uploads/uniserve","legendary","31443000000","31.443 billion Uniserveans. Infamous sell-swords, conspicuous electricity pylons, and punitive income tax rates.","{""Easter Egg"":2}","{""TIMBER-1T"":1,""GDP-1T"":1,""GODFORSAKEN-1T"":1}"
"6551","1","Markreich","Ostentatious Grand Duchy","For all whom miss 1908.","Inoffensive Centrist Democracy","The Village","liechtenstein--64","legendary","32231000000","32.231 billion Markreichians. Ritual sacrifices, keen interest in outer space, and complete absence of social welfare.","{""Founder"":1,""Easter Egg"":4}","{""CHEESE-1"":49,""APATHETIC-1"":72,""AGRICULTURE-1"":96}"
"6931","1","Undivulged Principles","Confederacy","What goes around, comes around.","Left-wing Utopia","Eladen","uploads/undivulged_principles","legendary","34413000000","34.413 billion Confederates. Soft-spoken computers, multi-spousal wedding ceremonies, and absence of drug laws.","{""Founder"":1,""Easter Egg"":4}","{""FISH-1T"":1,""POORINCOME-1T"":1,""CHEESE-1"":2}"
"7421","1","Disco Empire","Dominion","You should be dancing!","Democratic Socialists","null","exnation.png","legendary","18629000000","18.629 billion Disco Empireans. Complete lack of prisons, national health service, and rampant corporate plagiarism.","{""Easter Egg"":2}","{}"
"8106","1","G C Bakura","Shining Islands","It's Time to Draw!","Liberal Democratic Socialists","null","exnation.png","legendary","20457000000","20.457 billion Bakurans. National health service, soft-spoken computers, and punitive income tax rates.","{""Easter Egg"":4}","{}"
"8176","1","Lakanaba","Council Chambers","Watch for mimics!","Left-Leaning College State","null","exnation.png","legendary","14703000000","14.703 billion Lakanabans. Museums and concert halls, otherworldly petting zoo, and pith helmet sales.","{""Founder"":1,""Easter Egg"":2}","{}"
"8345","1","Ral Ixshida","Ral System Capital World","For the Empire - For the Triforce - For the Goddess","Left-wing Utopia","The Empire of Triphoria","uploads/ral_ixshida__832873.jpg","legendary","28302000000","28.302 billion Hylians. Museums and concert halls, keen interest in outer space, and anti-smoking policies.","{""Founder"":1,""Site Supporter"":1}","{""EMPLOYED-1T"":1,""LEASTCORRUPT-1T"":1,""CULTURE-1"":2}"
"8785","1","Aurora Islands","Armed Corporations","If you have money, nothing is impossible!","Capitalist Paradise","Commonwealth of Liberty","uploads/aurora_islands__208070.png","legendary","23339000000","23.339 billion Auroraians. Otherworldly petting zoo, pith helmet sales, and spontaneously combusting cars.","{""Easter Egg"":6}","{""RICHINCOME-1"":9,""DISPINCOME-1"":12,""CORRUPT-1"":15}"
